時刻,体表温度,体動,脈周期[ms],ラベル
2023/08/02 17:29:33,30.0,1.0,500.0,2
2023/08/02 17:29:34,30.0,1.0,500.0,2
2023/08/02 17:29:35,30.0,,500.0,2
2023/08/02 17:29:36,30.0,1.0,530.0,2
2023/08/02 17:29:37,30.0,1.0,540.0,2
2023/08/02 17:29:38,30.0,,540.0,2
2023/08/02 17:29:39,30.0,1.0,540.0,2
2023/08/02 17:29:40,30.0,1.0,545.0,2
2023/08/02 17:29:41,30.100000381469727,1.0,545.0,2
2023/08/02 17:29:42,30.100000381469727,1.0,545.0,2
2023/08/02 17:29:43,30.100000381469727,1.0,545.0,2
2023/08/02 17:29:44,30.100000381469727,1.0,545.0,2
2023/08/02 17:29:45,30.100000381469727,1.0,550.0,2
2023/08/02 17:29:46,30.100000381469727,1.0,550.0,2
2023/08/02 17:29:47,30.100000381469727,1.0,550.0,2
2023/08/02 17:29:48,30.100000381469727,1.0,550.0,2
2023/08/02 17:29:49,30.100000381469727,,550.0,2
2023/08/02 17:29:50,30.100000381469727,,550.0,2
2023/08/02 17:29:51,30.100000381469727,1.0,550.0,2
2023/08/02 17:29:52,30.100000381469727,1.0,550.0,2
2023/08/02 17:29:53,30.100000381469727,,540.0,2
2023/08/02 17:29:54,30.100000381469727,,540.0,2
2023/08/02 17:29:55,30.100000381469727,,540.0,2
2023/08/02 17:29:56,30.100000381469727,1.0,540.0,2
2023/08/02 17:29:57,30.100000381469727,1.0,576.0,2
2023/08/02 17:29:58,30.100000381469727,1.0,576.0,2
2023/08/02 17:29:59,30.100000381469727,1.0,576.0,2
2023/08/02 17:30:00,30.100000381469727,1.0,582.0,2
2023/08/02 17:30:01,30.100000381469727,1.0,582.0,2
2023/08/02 17:30:02,30.100000381469727,1.0,582.0,2
2023/08/02 17:30:03,30.100000381469727,1.0,582.0,2
2023/08/02 17:30:04,30.100000381469727,1.0,582.0,2
2023/08/02 17:30:05,30.100000381469727,1.0,582.0,2
2023/08/02 17:30:06,30.100000381469727,1.0,582.0,2
2023/08/02 17:30:07,30.100000381469727,1.0,582.0,2
2023/08/02 17:30:08,30.100000381469727,1.0,588.0,2
2023/08/02 17:30:09,30.100000381469727,1.0,560.0,2
2023/08/02 17:30:10,30.100000381469727,1.0,560.0,2
2023/08/02 17:30:11,30.100000381469727,1.0,560.0,2
2023/08/02 17:30:12,30.200000762939453,1.0,560.0,2
